"filename", "language", "Dart", "comment", "blank", "total"
"c:\Projects\pos\lib\core\widgets\app_filled_button.dart", "Dart", 80, 7, 5, 92
"c:\Projects\pos\lib\core\widgets\app_filter_chip.dart", "Dart", 83, 0, 5, 88
"c:\Projects\pos\lib\core\widgets\app_input_decoration.dart", "Dart", 61, 8, 4, 73
"c:\Projects\pos\lib\core\widgets\app_labeled_switch.dart", "Dart", 45, 2, 4, 51
"c:\Projects\pos\lib\core\widgets\app_popup_menu.dart", "Dart", 125, 32, 15, 172
"c:\Projects\pos\lib\core\widgets\app_search_bar.dart", "Dart", 80, 6, 10, 96
"c:\Projects\pos\lib\core\widgets\app_section_card.dart", "Dart", 73, 8, 6, 87
"c:\Projects\pos\lib\core\widgets\app_sub_page_bar.dart", "Dart", 30, 9, 5, 44
"c:\Projects\pos\lib\core\widgets\app_switch.dart", "Dart", 68, 2, 4, 74
"c:\Projects\pos\lib\core\widgets\app_view_toggle.dart", "Dart", 85, 3, 8, 96
"c:\Projects\pos\lib\core\widgets\branch_action_dialog.dart", "Dart", 361, 3, 15, 379
"c:\Projects\pos\lib\core\widgets\branch_sale_dialog.dart", "Dart", 18, 1, 3, 22
"c:\Projects\pos\lib\core\widgets\dashboard_card.dart", "Dart", 32, 0, 3, 35
"c:\Projects\pos\lib\core\widgets\stat_card.dart", "Dart", 145, 5, 9, 159
"c:\Projects\pos\lib\core\widgets\table_action_button.dart", "Dart", 34, 13, 4, 51
"c:\Projects\pos\lib\core\widgets\user_avatar.dart", "Dart", 138, 2, 15, 155
"c:\Projects\pos\lib\core\widgets\widgets.dart", "Dart", 19, 0, 1, 20
"c:\Projects\pos\lib\features\ai_assistant\bloc\ai_chat_bloc.dart", "Dart", 242, 12, 32, 286
"c:\Projects\pos\lib\features\ai_assistant\bloc\ai_chat_event.dart", "Dart", 47, 9, 16, 72
"c:\Projects\pos\lib\features\ai_assistant\bloc\ai_chat_state.dart", "Dart", 50, 5, 9, 64
"c:\Projects\pos\lib\features\ai_assistant\models\ai_models.dart", "Dart", 181, 20, 34, 235
"c:\Projects\pos\lib\features\ai_assistant\pages\ai_chat_page.dart", "Dart", 994, 20, 57, 1071
"c:\Projects\pos\lib\features\ai_assistant\services\ai_pipeline.dart", "Dart", 362, 36, 38, 436
"c:\Projects\pos\lib\features\ai_assistant\services\ai_tool_service.dart", "Dart", 417, 36, 58, 511
"c:\Projects\pos\lib\features\ai_assistant\services\intent_validator.dart", "Dart", 154, 9, 21, 184
"c:\Projects\pos\lib\features\ai_assistant\services\json_parser.dart", "Dart", 41, 13, 12, 66
"c:\Projects\pos\lib\features\ai_assistant\services\llm_engine.dart", "Dart", 58, 15, 10, 83
"c:\Projects\pos\lib\features\ai_assistant\services\llm_service.dart", "Dart", 607, 111, 117, 835
"c:\Projects\pos\lib\features\ai_assistant\services\model_download_service.dart", "Dart", 171, 27, 35, 233
"c:\Projects\pos\lib\features\ai_assistant\services\model_manager.dart", "Dart", 73, 17, 13, 103
"c:\Projects\pos\lib\features\ai_assistant\services\product_matcher.dart", "Dart", 171, 28, 25, 224
"c:\Projects\pos\lib\features\ai_assistant\services\response_formatter.dart", "Dart", 343, 3, 42, 388
"c:\Projects\pos\lib\features\ai_assistant\widgets\download_offer_banner.dart", "Dart", 82, 0, 1, 83
"c:\Projects\pos\lib\features\ai_assistant\widgets\download_progress_banner.dart", "Dart", 98, 1, 4, 103
"c:\Projects\pos\lib\features\ai_assistant\widgets\floating_ai_assistant_bar.dart", "Dart", 14, 0, 5, 19
"c:\Projects\pos\lib\features\ai_assistant\widgets\transaction_preview_card.dart", "Dart", 507, 15, 32, 554
"c:\Projects\pos\lib\features\ai_assistant\widgets\typing_indicator.dart", "Dart", 60, 3, 9, 72
"c:\Projects\pos\lib\features\alert\data\alert_model.dart", "Dart", 146, 0, 6, 152
"c:\Projects\pos\lib\features\alert\presentation\alert_page.dart", "Dart", 245, 0, 23, 268
"c:\Projects\pos\lib\features\alert\presentation\widgets\alert_detail_content.dart", "Dart", 395, 0, 29, 424
"c:\Projects\pos\lib\features\alert\presentation\widgets\alert_detail_dialog.dart", "Dart", 47, 0, 4, 51
"c:\Projects\pos\lib\features\alert\presentation\widgets\alert_detail_page.dart", "Dart", 42, 0, 4, 46
"c:\Projects\pos\lib\features\alert\presentation\widgets\alert_filter_bar.dart", "Dart", 122, 0, 7, 129
"c:\Projects\pos\lib\features\alert\presentation\widgets\alert_list_item.dart", "Dart", 274, 0, 23, 297
"c:\Projects\pos\lib\features\alert\presentation\widgets\alert_stat_card.dart", "Dart", 75, 0, 4, 79
"c:\Projects\pos\lib\features\audit_logs\data\datasources\audit_log_remote_ds.dart", "Dart", 21, 0, 5, 26
"c:\Projects\pos\lib\features\audit_logs\data\repositories\audit_log_repository_impl.dart", "Dart", 71, 0, 8, 79
"c:\Projects\pos\lib\features\audit_logs\domain\audit_log_action_type.dart", "Dart", 158, 13, 13, 184
"c:\Projects\pos\lib\features\audit_logs\domain\entities\audit_log.dart", "Dart", 32, 7, 6, 45
"c:\Projects\pos\lib\features\audit_logs\domain\repositories\i_audit_log_repository.dart", "Dart", 19, 2, 3, 24
"c:\Projects\pos\lib\features\audit_logs\presentation\bloc\audit_log_bloc.dart", "Dart", 171, 1, 20, 192
"c:\Projects\pos\lib\features\audit_logs\presentation\bloc\audit_log_event.dart", "Dart", 55, 0, 22, 77
"c:\Projects\pos\lib\features\audit_logs\presentation\bloc\audit_log_state.dart", "Dart", 88, 1, 14, 103
"c:\Projects\pos\lib\features\audit_logs\presentation\pages\audit_log_page.dart", "Dart", 194, 8, 22, 224
"c:\Projects\pos\lib\features\audit_logs\presentation\widgets\audit_log_empty_state.dart", "Dart", 43, 0, 3, 46
"c:\Projects\pos\lib\features\audit_logs\presentation\widgets\audit_log_filter_bar.dart", "Dart", 315, 12, 19, 346
"c:\Projects\pos\lib\features\audit_logs\presentation\widgets\audit_log_skeleton.dart", "Dart", 284, 41, 23, 348
"c:\Projects\pos\lib\features\audit_logs\presentation\widgets\audit_log_tile.dart", "Dart", 546, 24, 31, 601
"c:\Projects\pos\lib\features\auth\data\datasources\auth_remote_ds.dart", "Dart", 307, 32, 46, 385
"c:\Projects\pos\lib\features\auth\data\models\app_user_model.dart", "Dart", 55, 0, 4, 59
"c:\Projects\pos\lib\features\auth\data\repositories\auth_repository_impl.dart", "Dart", 419, 39, 58, 516
"c:\Projects\pos\lib\features\auth\domain\entities\app_user.dart", "Dart", 28, 0, 2, 30
"c:\Projects\pos\lib\features\auth\domain\repositories\auth_repository.dart", "Dart", 27, 5, 9, 41
"c:\Projects\pos\lib\features\auth\domain\usecases\check_email_exists.dart", "Dart", 8, 0, 3, 11
"c:\Projects\pos\lib\features\auth\domain\usecases\get_current_user.dart", "Dart", 7, 0, 3, 10
"c:\Projects\pos\lib\features\auth\domain\usecases\get_user_business_context.dart", "Dart", 9, 2, 4, 15
"c:\Projects\pos\lib\features\auth\domain\usecases\observe_auth_state.dart", "Dart", 7, 0, 3, 10
"c:\Projects\pos\lib\features\auth\domain\usecases\reset_password.dart", "Dart", 6, 0, 3, 9
"c:\Projects\pos\lib\features\auth\domain\usecases\send_password_reset_otp.dart", "Dart", 6, 0, 3, 9
"c:\Projects\pos\lib\features\auth\domain\usecases\send_sign_up_otp.dart", "Dart", 6, 0, 3, 9
"c:\Projects\pos\lib\features\auth\domain\usecases\sign_in.dart", "Dart", 8, 0, 4, 12
"c:\Projects\pos\lib\features\auth\domain\usecases\sign_in_with_facebook.dart", "Dart", 6, 0, 4, 10
"c:\Projects\pos\lib\features\auth\domain\usecases\sign_in_with_google.dart", "Dart", 6, 0, 4, 10
"c:\Projects\pos\lib\features\auth\domain\usecases\sign_out.dart", "Dart", 6, 0, 3, 9
"c:\Projects\pos\lib\features\auth\domain\usecases\sign_up.dart", "Dart", 8, 0, 3, 11
"c:\Projects\pos\lib\features\auth\domain\usecases\verify_password_reset_otp.dart", "Dart", 7, 0, 3, 10
"c:\Projects\pos\lib\features\auth\domain\usecases\verify_sign_up_otp.dart", "Dart", 13, 0, 4, 17
"c:\Projects\pos\lib\features\auth\presentation\bloc\auth_bloc.dart", "Dart", 460, 31, 60, 551
"c:\Projects\pos\lib\features\auth\presentation\bloc\auth_event.dart", "Dart", 85, 1, 28, 114
"c:\Projects\pos\lib\features\auth\presentation\bloc\auth_state.dart", "Dart", 72, 1, 20, 93
"c:\Projects\pos\lib\features\auth\presentation\forgot_password_page.dart", "Dart", 163, 5, 13, 181
